FID,BuildingsWithin25m,BTAWithin25m,BuildingsWithin25mWithamenityData,BTAWithin25mWithamenityData,BuildingsWithin25mWithnameData,BTAWithin25mWithnameData,BuildingsWithin25mWithwebsiteData,BTAWithin25mWithwebsiteData,BuildingsWithin25mWithreligionData,BTAWithin25mWithreligionData,BuildingsWithin100m,BTAWithin100m,BuildingsWithin100mWithamenityData,BTAWithin100mWithamenityData,BuildingsWithin100mWithnameData,BTAWithin100mWithnameData,BuildingsWithin100mWithwebsiteData,BTAWithin100mWithwebsiteData,BuildingsWithin100mWithreligionData,BTAWithin100mWithreligionData,BuildingsWithin225m,BTAWithin225m,BuildingsWithin225mWithamenityData,BTAWithin225mWithamenityData,BuildingsWithin225mWithnameData,BTAWithin225mWithnameData,BuildingsWithin225mWithwebsiteData,BTAWithin225mWithwebsiteData,BuildingsWithin225mWithreligionData,BTAWithin225mWithreligionData,BuildingsWithin400m,BTAWithin400m,BuildingsWithin400mWithamenityData,BTAWithin400mWithamenityData,BuildingsWithin400mWithnameData,BTAWithin400mWithnameData,BuildingsWithin400mWithwebsiteData,BTAWithin400mWithwebsiteData,BuildingsWithin400mWithreligionData,BTAWithin400mWithreligionData,BuildingsWithin625m,BTAWithin625m,BuildingsWithin625mWithamenityData,BTAWithin625mWithamenityData,BuildingsWithin625mWithnameData,BTAWithin625mWithnameData,BuildingsWithin625mWithwebsiteData,BTAWithin625mWithwebsiteData,BuildingsWithin625mWithreligionData,BTAWithin625mWithreligionData
30863582,0,0,0,0,0,0,0,0,0,0,9,16032,1,5967,1,5967,0,0,0,0,78,56435,1,5967,1,5967,0,0,0,0,267,190157,2,8097,2,8097,1,2130,0,0,564,341398,2,8097,5,24435,2,2709,0,0
30863583,0,0,0,0,0,0,0,0,0,0,13,17946,1,5967,1,5967,0,0,0,0,80,54530,1,5967,1,5967,0,0,0,0,270,192053,2,8097,2,8097,1,2130,0,0,566,341890,2,8097,5,24435,2,2709,0,0
30864209,0,0,0,0,0,0,0,0,0,0,3,27183,0,0,2,19938,0,0,0,0,11,140483,0,0,9,131663,1,13578,0,0,45,672682,2,28605,20,407243,5,103096,0,0,71,1000325,2,28605,28,530647,6,109126,0,0
30864210,0,0,0,0,0,0,0,0,0,0,3,29796,0,0,3,29796,0,0,0,0,14,129391,1,17727,9,94120,1,12860,0,0,42,678341,2,28605,21,432509,5,103096,0,0,78,1020892,2,28605,28,530647,6,109126,0,0
30864211,0,0,0,0,0,0,0,0,0,0,4,31689,0,0,3,25794,0,0,0,0,17,151912,1,17727,9,109123,2,16103,0,0,41,637739,2,28605,20,414015,5,103096,0,0,91,1005578,2,28605,29,542443,6,109126,0,0
30864216,0,0,0,0,0,0,0,0,0,0,2,69286,0,0,2,69286,1,6030,0,0,10,145974,0,0,2,69286,1,6030,0,0,36,527453,0,0,9,258425,1,6030,0,0,68,1015207,0,0,21,562648,5,96838,0,0
30864217,0,0,0,0,0,0,0,0,0,0,3,90391,0,0,1,63256,0,0,0,0,14,221505,0,0,4,103189,1,6030,0,0,44,540734,1,6006,12,283957,2,12996,0,0,79,973190,3,12444,20,482087,7,40322,2,6438
30863736,0,0,0,0,0,0,0,0,0,0,11,11452,0,0,1,1030,0,0,0,0,60,54745,0,0,1,1030,0,0,0,0,178,207028,1,9195,4,35185,0,0,0,0,217,286884,2,23046,4,35185,0,0,0,0
30863950,3,1377,0,0,0,0,0,0,0,0,13,18084,0,0,0,0,0,0,0,0,72,93006,0,0,0,0,0,0,0,0,304,254343,2,3567,2,4998,1,2982,0,0,499,453819,4,10860,12,35431,4,18809,1,3609
30864220,1,3063,1,3063,0,0,0,0,0,0,8,17373,3,9603,1,2367,0,0,0,0,36,89595,7,28602,2,8871,0,0,0,0,78,200817,8,35538,2,8871,0,0,0,0,104,262818,12,42813,3,15612,0,0,0,0
30864221,0,0,0,0,0,0,0,0,0,0,5,98884,0,0,1,12860,1,12860,0,0,23,321653,1,17727,9,163893,2,16103,0,0,46,792866,1,17727,20,530656,4,89518,0,0,97,1160522,5,37812,27,650227,7,101986,2,6438
30863752,0,0,0,0,0,0,0,0,0,0,5,6939,0,0,0,0,0,0,0,0,25,116694,0,0,0,0,0,0,0,0,160,342990,3,6528,3,1935,1,480,1,480,319,548576,4,6689,4,3127,2,1672,1,480
30864244,1,1710,0,0,0,0,0,0,0,0,18,29757,1,6351,0,0,0,0,0,0,40,84941,3,21552,0,0,0,0,0,0,115,274867,7,48162,5,29772,1,945,1,945,280,425889,8,49047,6,30657,1,945,1,945
30864245,2,2097,0,0,0,0,0,0,0,0,16,27420,1,6351,0,0,0,0,0,0,44,76648,2,10962,0,0,0,0,0,0,105,259829,5,29112,4,13098,1,945,1,945,303,443691,9,49350,6,30657,1,945,1,945
30863989,0,0,0,0,0,0,0,0,0,0,8,14382,0,0,0,0,0,0,0,0,26,73697,0,0,0,0,0,0,0,0,94,254876,1,1677,3,7586,0,0,1,1677,190,478773,2,2519,4,8428,1,842,1,1677
30864251,3,2823,0,0,0,0,0,0,0,0,15,14295,0,0,0,0,0,0,0,0,53,72102,0,0,1,10140,0,0,0,0,300,176964,0,0,2,12444,0,0,0,0,563,282268,2,2484,3,13824,0,0,0,0
30864252,0,0,0,0,0,0,0,0,0,0,8,22170,0,0,0,0,0,0,0,0,19,78407,0,0,2,23029,0,0,0,0,79,196153,0,0,4,25909,2,2880,0,0,150,396187,0,0,7,106428,2,2880,0,0
30864253,0,0,0,0,0,0,0,0,0,0,10,32068,0,0,1,7540,0,0,0,0,20,79271,0,0,2,23029,0,0,0,0,80,221884,0,0,5,40914,2,2880,0,0,149,401453,0,0,7,106428,2,2880,0,0
30864263,0,0,0,0,0,0,0,0,0,0,7,26058,0,0,0,0,0,0,0,0,28,133136,0,0,4,33374,2,2880,0,0,90,280112,0,0,6,43722,3,5688,0,0,135,386992,1,1054,7,45504,3,5688,0,0
30863772,1,1185,0,0,0,0,0,0,0,0,10,15888,0,0,0,0,0,0,0,0,50,72276,0,0,0,0,0,0,0,0,199,248579,1,4572,2,9456,1,9114,0,0,332,389972,1,4572,4,14226,1,9114,0,0
30863995,0,0,0,0,0,0,0,0,0,0,12,46802,1,3081,2,11615,3,23921,1,3081,49,130955,3,10374,11,33514,5,31214,2,6690,136,324151,4,11428,11,33514,5,31214,2,6690,295,480485,4,11428,14,36438,6,31954,2,6690
30864043,0,0,0,0,0,0,0,0,0,0,5,15867,0,0,0,0,0,0,0,0,27,86727,0,0,2,5909,0,0,0,0,87,251647,1,1677,3,7586,0,0,1,1677,207,457721,1,1677,3,7586,0,0,1,1677
30864044,0,0,0,0,0,0,0,0,0,0,4,9603,0,0,0,0,0,0,0,0,25,83970,0,0,2,5909,0,0,0,0,86,250000,1,1677,3,7586,0,0,1,1677,200,461664,2,2519,4,8428,1,842,1,1677
30864266,0,0,0,0,0,0,0,0,0,0,4,5079,0,0,0,0,0,0,0,0,15,66444,0,0,2,33903,1,4785,0,0,37,296994,3,7194,9,156930,3,17781,0,0,180,674820,3,7194,11,304917,3,17781,0,0
30864267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,125809,0,0,3,97159,0,0,0,0,41,385175,2,6309,9,167841,3,17781,0,0,113,887197,2,6309,13,411213,3,17781,0,0
