FID,BuildingsWithin25m,BTAWithin25m,BuildingsWithin25mWithamenityData,BTAWithin25mWithamenityData,BuildingsWithin25mWithnameData,BTAWithin25mWithnameData,BuildingsWithin25mWithwebsiteData,BTAWithin25mWithwebsiteData,BuildingsWithin25mWithreligionData,BTAWithin25mWithreligionData,BuildingsWithin100m,BTAWithin100m,BuildingsWithin100mWithamenityData,BTAWithin100mWithamenityData,BuildingsWithin100mWithnameData,BTAWithin100mWithnameData,BuildingsWithin100mWithwebsiteData,BTAWithin100mWithwebsiteData,BuildingsWithin100mWithreligionData,BTAWithin100mWithreligionData,BuildingsWithin225m,BTAWithin225m,BuildingsWithin225mWithamenityData,BTAWithin225mWithamenityData,BuildingsWithin225mWithnameData,BTAWithin225mWithnameData,BuildingsWithin225mWithwebsiteData,BTAWithin225mWithwebsiteData,BuildingsWithin225mWithreligionData,BTAWithin225mWithreligionData,BuildingsWithin400m,BTAWithin400m,BuildingsWithin400mWithamenityData,BTAWithin400mWithamenityData,BuildingsWithin400mWithnameData,BTAWithin400mWithnameData,BuildingsWithin400mWithwebsiteData,BTAWithin400mWithwebsiteData,BuildingsWithin400mWithreligionData,BTAWithin400mWithreligionData,BuildingsWithin625m,BTAWithin625m,BuildingsWithin625mWithamenityData,BTAWithin625mWithamenityData,BuildingsWithin625mWithnameData,BTAWithin625mWithnameData,BuildingsWithin625mWithwebsiteData,BTAWithin625mWithwebsiteData,BuildingsWithin625mWithreligionData,BTAWithin625mWithreligionData
30853088,0,0,0,0,0,0,0,0,0,0,3,77560,0,0,0,0,0,0,0,0,18,306293,0,0,0,0,0,0,0,0,59,801980,1,4233,1,4233,0,0,1,4233,110,1331139,4,7722,7,10187,0,0,3,7575
30853089,0,0,0,0,0,0,0,0,0,0,2,21753,0,0,0,0,0,0,0,0,15,247033,0,0,3,104780,1,6030,0,0,51,781004,0,0,16,459785,4,29099,0,0,85,1090890,3,24165,24,554969,6,35537,2,6438
30853090,0,0,0,0,0,0,0,0,0,0,1,17490,0,0,0,0,0,0,0,0,13,211001,0,0,4,94183,1,6030,0,0,50,756773,1,6006,14,434873,2,12996,0,0,87,1040386,4,30171,23,523289,7,40322,2,6438
30853091,1,1119,0,0,0,0,0,0,0,0,6,14391,0,0,0,0,0,0,0,0,24,84303,0,0,4,6837,0,0,0,0,74,248282,0,0,8,12605,0,0,0,0,130,333300,0,0,14,21483,2,5823,0,0
30853092,1,1119,0,0,0,0,0,0,0,0,6,14391,0,0,0,0,0,0,0,0,24,84303,0,0,4,6837,0,0,0,0,74,248282,0,0,8,12605,0,0,0,0,130,333300,0,0,14,21483,2,5823,0,0
30853093,0,0,0,0,0,0,0,0,0,0,6,56406,1,2457,1,2457,1,2457,1,2457,31,286638,1,2457,2,2733,1,2457,1,2457,125,857756,5,16411,8,18811,1,2457,4,14503,182,1313042,6,20491,14,38904,1,2457,5,18583
30853094,0,0,0,0,0,0,0,0,0,0,7,40644,0,0,0,0,0,0,0,0,32,238764,1,3237,6,77023,2,22693,1,3237,98,891280,2,4281,13,113230,2,22693,2,4281,196,1885730,5,12857,22,191553,2,22693,4,10949
30853095,0,0,0,0,0,0,0,0,0,0,6,23070,0,0,0,0,0,0,0,0,40,328319,1,3102,3,7689,0,0,1,3102,94,1109168,3,5941,6,13272,1,844,2,5097,133,1474956,4,11569,14,41641,1,844,3,10725
30853096,0,0,0,0,0,0,0,0,0,0,8,126181,0,0,0,0,0,0,0,0,30,600672,0,0,4,14052,1,3528,0,0,89,1147551,6,14045,18,43404,3,12180,3,8663,161,2181522,9,23537,29,122661,4,19620,4,10658
30853097,0,0,0,0,0,0,0,0,0,0,2,51480,0,0,0,0,0,0,0,0,30,238561,0,0,0,0,0,0,0,0,154,600492,4,8506,8,16889,1,2457,4,8506,195,796189,4,8506,11,17376,1,2457,4,8506
